#Author:Agnisvāmin
#Text:Lāṭyāyanaśrautasūtrabhāṣya
#Comments:Lāṭyāyanaśrauta
#Edition:Vedāntavāgīśa 1872
#Data entry:Oliver Hellwig
#Notes:Completed: 1-3, 8-10



1.1.2.[1]	tatra mantraśabdaḥ pratītaśabdārthaḥ kartṛpadārthako mahanmevocādiṣu yajaḥṣu varttate /
1.1.2.[2]	vidhīyate vidhānaṃ veti vidhiḥ /
1.1.2.[3]	ādigrahaṇena ādīyate'rtho'neneti ādiḥ /
1.1.2.[4]	ayaṃ sūtrārthaḥ ādigṛhīto mantraḥ kṛtsnaḥ prayoktavya iti /
1.1.2.[5]	atrocyate, yadyevamarthaḥ, satrārambho na karttavyastarhi, ṛtepi etasmādavagamyeta etat, ādigrahīto mantraḥ kṛtsnaḥ prayoktavya iti, paripaṭhitānāmādigṛhīto mantraḥ prayoktavya iti /
1.1.2.[6]	nanu siddhaṃ gṛhyaprāmāṇyādevaitadāmnāyārthatvāt, padārthābhisambandhāccheṣaviśeṣavidhiḥ tadviṣaya iti cet, sthālīpulākavat /
1.1.2.[7]	anyatra yāvadyajurgrahaṇāduttarasūtrārambhācca, gṛhyaprāmāṇyāttāvanmantrāntamavyaktaṃ parasyādigrahaṇena vidyāditi, āmnāyārthatvāditi, yadi hyādigrahītomantraḥ kṛtsno na prayuñjyetāmnāyo narthakaḥ syāt /
1.1.2.[8]	sārthakena cāmnāyena bhavitavyaṃ /
1.1.2.[9]	ataśca gamyate kṛtsnamantraprasaṅga iti /
1.1.2.[10]	padārthābhisambandhādavagamyate kṛtsnamantraprayoga iti /
1.1.2.[11]	iha padānāṃ pāramparyeṇarthopyabhisambandha, tanmāvatvādivat /
1.1.2.[12]	śeṣaviśeṣavidheḥ śeṣe yasmādviśeṣavidhirāgacchati /
1.1.2.[13]	satra eva grahasya bhakṣaye suraindraṁ saha ityudasya harivadaharikāsu cetsuvīranniti, sati kṛtsnamantra prayoge ekadeśoddhāraḥ sambhavati /
1.1.2.[14]	śeṣaviśeṣavidhistadviṣaya eveti, sthālīpulākavat, yathaikenoḍhanasikthena kṛtsnā sthālī parīkṣyā svinnā nasvinneti /
1.1.2.[15]	ekadeśena pulākasthānīyena sthālī sthānīyogranthaḥ kṛtsnaḥ parikṣiṣyata iti /
1.1.2.[16]	anyatra yāvadyajurgrahaṇadyāvadyajuranādiṣṭāntān mantrāniti /
1.1.2.[17]	yāvadyajati samarthantāvat prayoktavyamiti /
1.1.2.[18]	arthavādoddhāraṃ vidadhachāstraṃ kṛtsnamantraprakaraṇaprasaṅgaṃ jñāpayati /
1.1.2.[19]	uttarasūtrārambhācca manyāmahe kṛtsnamantraprakaraṇa prasaṅga iti /
1.1.2.[20]	uttarādiḥ pūrvāntalakṣaṇamiti, uttarasya mantrasyādinā pūrvasya mantrasyāntolakṣyate, sati ca kṛtsnamantraprayoge tallakṣaṇaṃ sambhavati /
